Row,z_1,z_2
0,-2.318955310686019,-0.5206482183623959
1,-2.4816936555003526,-0.42065803949519054
2,-2.561236784487159,-0.03602949306436981
3,-2.492876545364833,0.10615422732610025
4,-2.4406350834017667,0.49406817336832226
5,-2.461139556544433,0.6569291839660896
6,-2.313257444694352,0.8207119944601469
7,-2.2287609737198566,1.0167311020126972
8,0.06238375794497832,1.3057352903947725
9,0.3592128417442505,0.7716290413862593
10,0.8678880237140054,0.4546631504597972
11,1.0659411921278727,0.30938008726206356
12,1.1714022422028025,0.2745671635272227
13,1.7595219673260218,0.31341232264096835
14,2.2510015217356347,0.6717087840413598
15,2.611216177327578,0.12219939321177996
16,2.6760125226565745,-0.026303275048743677
17,2.9775230819127714,-0.27441765899890697
18,2.8991792426385277,-0.48571836851993966
19,2.734572837018977,-0.37416711584694834
20,1.9825414800270837,-0.6473741441541182
21,1.7305194984580932,-0.6229516148666158
22,1.531242187095705,-0.6915973114256536
23,1.466107696354364,-0.7133913036625441
24,1.1833503932707696,-0.7902722881123142
25,0.7988155080081192,-0.7714870777061733
26,0.5781635884052856,-1.5805364600806049
27,0.48086772168049496,-1.6579979920343504
28,0.031198186052923963,-1.6828938511570761
29,-0.12608883810595742,-1.5881160226344881
30,-0.37228129491145756,-1.4630583009095892
31,-0.9648403186012078,-1.5411217755239552
32,-1.2601630351441055,-1.4335642841479692
33,-1.7416646647054526,-1.2309152424281946
34,-1.843051592658675,-1.020252394534673
35,,
36,-1.6878549011730033,2.2461788096922684
37,-1.2962296224622911,2.322410641418918
38,-0.9550278475830316,2.1731966585902693
39,-0.5715038602608493,2.0092598403949578
40,-0.22724369593233712,1.747740123529539
41,0.06238375794497832,1.3057352903947725
42,-2.220578579691267,1.0398481018561336
43,-2.2201575172587744,1.6139705896826753
44,-2.0449843767635483,1.7205729426537157
